,rest_name,star_rating,restaurant_reviews_count,restaurant_price,restaurant_cuisines,restaurant_area,restaurant_delivery_options
165,Mantra,4.0,50,,['Indian'],,"['$15 for $30 Deal', 'Outdoor dining', 'Delivery', 'Takeout']"
166,Feast of Dilli,4.5,89,$$,['Indian'],Etobicoke,[]
167,Samosa King - Embassy Restaurant,3.5,196,$,['Indian'],Scarborough,['Takeout']
168,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
169,Silver Chopsticks,4.5,10,,"['Vietnamese', 'Thai']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
170,Indian Roti Meal,0.0,0,,"['Fast Food', 'Halal', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
171,Makkah Restaurant,3.5,77,$,"['Indian', 'Pakistani', 'Middle Eastern']",The Danforth,[]
172,Butter Chicken Roti - Bloor W,4.0,9,,"['Indian', 'Vegan', 'Vegetarian']",Dovercourt,[]
173,Iqbal Kebab & Sweet Centre,3.5,49,,"['Pakistani', 'Barbeque', 'Seafood']",,[]
174,Bawarchi,3.0,7,,['Indian'],Scarborough,"['Delivery', 'Takeout']"
175,Haldi,4.5,9,,['Indian'],Cabbagetown,"['Outdoor dining', 'Delivery', 'Takeout']"
176,Lotus Fine Indian Cuisine,3.5,3,,['Indian'],,"['Delivery', 'Takeout']"
177,Karahi Point,4.0,81,$$,"['Indian', 'Pakistani']",Etobicoke,"['Delivery', 'Takeout']"
178,Karaikudi,3.5,110,$$,['Indian'],Scarborough,['Delivery']
179,Kairali - Taste of Kerala,3.5,70,$$,['Indian'],Scarborough,['Delivery']
180,Babu Catering & Take Out,4.0,132,$,"['Indian', 'Caterers']",Scarborough,"['Delivery', 'Takeout']"
181,Adda Bistro,4.0,8,,"['Bars', 'Indian']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
182,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
183,Indian Roti Meal,0.0,0,,"['Halal', 'Fast Food', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
184,Indilicious,4.5,22,,['Indian'],The Junction,[]
185,Maha’s,4.0,522,$$,"['Egyptian', 'Vegan', 'Sandwiches']",Leslieville,"['Outdoor dining', 'Takeout']"
186,OM Restaurant and Bar,4.0,47,$$,"['Indian', 'Himalayan/Nepalese']",Parkdale,[]
187,Butter Chicken Roti,4.5,3,,['Indian'],East York,[]
188,WeDeshi Foods,4.0,14,$$,"['Indian', 'Halal']",Scarborough,"['Delivery', 'Takeout']"
189,Chaska Express,3.5,21,,['Indian'],Financial District,"['Delivery', 'Takeout']"
190,Bom-Bay Snackbar,4.0,1,,"['Indian', 'Persian/Iranian', 'Breakfast & Brunch']",Mount Pleasant and Davisville,[]
